Title,Release date,Time Period,Start Time,End Time,Diff,Notes on setting,Location
The Amazing Grace,2006,1748,1748,1748,0,"Tells the story of John Newton's transformation from slave trader to Anglican priest; story is set in Calabar, Nigeria.",Nigeria
Blackbeard,2006,1718,1718,1718,0,the infamous pirate Edward Teach,Nassau
Alatriste,2006,1643,1643,1643,0,Life of a Spanish soldier (Capitaine Alatriste) until the Battle of Rocroi. Based on the novel by Arturo Perez-Reverte,Spain
Apocalypto,2006,1502,1502,1502,0,"Yucatán Peninsula, Mexico, the declining period of the Maya civilization.",Mexico
Curse of the Golden Flower,2006,928,928,928,0,Set during the Later Tang Dynasty,China
Tristan & Isolde,2006,600,600,600,0,Britain and Ireland – adaptation of the Brythonic legend of Tristan and Iseult,Ireland
The Inquiry,2006,37,37,37,0,Roman province of Judea shortly after the death of Jesus,Jerusalem
Hana,2006,0,0,0,0,Awards: 1 Nikkan Sports Film Award,Japan
Love and Honor,2006,0,0,0,0,,Japan
The Nativity Story,2006,4 BC,-4,-4,0,"Judea – The Biblical account of the nativity of Jesus, following the story of Mary and Joseph until the birth of Jesus occurs.",bethlehem
Bury My Heart at Wounded Knee,2007,1890,1890,1890,0,Wounded Knee massacre,Pine Ridge Reservation
Persuasion,2007,early 1900 ,1817,1817,0,adaptation of Jane Austen's 1817 novel set during the Regency era in Great Britain,UK
Northanger Abbey,2007,early 1900 ,1817,1817,0,adaptation of Jane Austen's 1817 novel set during the Regency era in Great Britain,UK
Mansfield Park,2007,early 1900 ,1814,1814,0,adaptation of Jane Austen's 1814 novel set during the Regency era in Great Britain,UK
The Sovereign's Servant,2007,1709,1709,1709,0,The Battle of Poltava during the Great Northern War.,Russia
Molière,2007,1645,1645,1645,0,The French playwright Molière,France
1612,2007,1612,1612,1612,0,The Tsardom of Russia during the Time of Troubles,Russia
Shadows in the Palace,2007,1600,1600,1600,0,Set during the 17th century.,Korea
Grendel,2007,600,600,600,0,Denmark in the Germanic Heroic Age – very loose adaptation of the Anglo-Saxon poem of Beowulf,Denmark
Beowulf,2007,600,600,600,0,Denmark in the Germanic Heroic Age – loose adaptation of the Anglo-Saxon poem of Beowulf,Denmark
Kaidan,2007,0,0,0,0,Awards: 1 Yokohama Film Festival Award,Japan
Sukiyaki Western Django,2007,0,0,0,0,,Japan
Chacha,2007,0,0,0,0,,Japan
300,2007,480 BC,-480,-480,0,"Greece: Battle of Thermopylae, Greece","Thermopylae, Greece"
Baler,2008,1898,1898,1898,0,During the Siege of Baler.,Philippines
Sense and Sensibility,2008,early 1900 ,1811,1811,0,adaptation of Jane Austen's 1811 novel set during the Regency era in Great Britain,UK
Charlotte Corday,2008,1793,1793,1793,0,Trial and execution of Charlotte Corday after her murder of Jean-Paul Marat. Marat was a Jacobin journalist and politician.,France
A Viking Saga,2008,870,870,870,0,The Rus prince Oleg of Novgorod defeats Askold and Dir,Russia
Outlander,2008,709,709,709,0,"Loosely based on the 9th-century epic poem Beowulf, adapted to a science-fiction backstory involving a spaceship crashing in Iron Age Norway",Denmark
An Empress and the Warriors,2008,ca. 350,350,350,0,set in the Former Yan during the Sixteen Kingdoms period,China
Three Kingdoms: Resurrection of the Dragon,2008,229,229,229,0,"a Hong Kong film about Zhao Yun, loosely based on parts of the novel Romance of the Three Kingdoms",China
Yamazakura,2008,0,0,0,0,,Japan
Geisha Assassin,2008,0,0,0,0,,Japan
Ichi,2008,0,0,0,0,,Japan
"10,000 BC",2008,"10,000 BC",-10000,-10000,0,Set in the prehistoric era (12 000 years ago) and depicts the journeys of a prehistoric tribe of mammoth hunters.,Europe
Emma,2009,early 1900 ,1815,1815,0,adaptation of Jane Austen's 1815 novel set during the Regency era in Great Britain,UK
The Sword with No Name,2009,1800,1800,1800,0,Set during the 19th century.,Korea
Journey to Mecca,2009,1325,1325,1325,0,A dramatised documentary film charting the first real-life journey made by the Islamic scholar Ibn Battuta from his native Morocco to Mecca for the Hajj,Saudi Arabia
Barbarossa,2009,1176,1176,1176,0,Battle of Legnano,Northern Italy
Didgori: Land of Sacrificed Knights,2009,1121,1121,1121,0,"Battle of Didgori, in which Georgia's king David IV defeated the Seljuks",Tbilisi
1066 The Battle for Middle Earth,2009,1066,1066,1066,0,During the Norman conquest,England
Severed Ways,2009,1007,1007,1007,0,Two Denmarkns left behind in North America after the settlements made by Leif Ericson were abandoned,North America
Valhalla Rising,2009,1000,1000,1000,0,Follows a Norse warrior named One-Eye and a boy as they travel with a band of Christian Crusaders by ship in the hopes of finding the Holy Land.,North America
Samurai Avenger: The Blind Wolf,2009,0,0,0,0,,Japan
Ballad: Na mo naki koi no uta,2009,0,0,0,0,,Japan
Castle Under Fiery Skies,2009,0,0,0,0,,Japan
Wheat,2009,260 BC,-260,-260,0,the story of women left behind when their husbands went to war during the Battle of Changping,China
Veer,2010,1825,1825,1825,0,"Set during the 1825 Pindari movement of Rajasthan, when India was ruled by the East India Company",India
Mozart's Sister,2010,1763,1763,1763,0,"The early life of Maria Anna Mozart, older sister of Wolfgang Amadeus Mozart.",Austria
The Princess of Montpensier,2010,1572,1572,1572,0,France during the St. Bartholomew's Day massacre. The massacre was part of the French Wars of Religion.,France
Blades of Blood,2010,1500,1500,1500,0,Set during the 16th century.,Korea
Black Death,2010,1348,1348,1348,0,During the initial outbreak of the plague,England
Robin Hood,2010,1199,1199,1199,0,from the death of Richard the Lionheart until the early reign of King John,England
Centurion,2010,117,117,117,0,Roman Britain – the supposed fate of the Ninth Legion,UK
Sword of Desperation,2010,0,0,0,0,,Japan
13 Assassins,2010,0,0,0,0,Remake of the 1963 film 13 Assassins.,Japan
?oku,2010,0,0,0,0,Based on the manga series of the same name.,Japan
The Sakurada Gate Incident,2010,0,0,0,0,,Japan
Abacus and Sword,2010,0,0,0,0,,Japan
Yamada: The Samurai of Ayothaya,2010,0,0,0,0,Awards: 1 Thailand National Film Association Award,Japan
The Winter Butterfly,2010,0,0,0,0,,Japan
The Conspirator,2011,April 1865,1865,1865,0,Based on the events of the aftermath of the assassination of Abraham Lincoln.,"Washington, DC"
The Mill and the Cross,2011,1564,1564,1564,0,Life in Flanders under Spanish Habsburg rule as depicted in Pieter Bruegel the Elder's 1564 painting The Procession to Calvary.,Spain
Urumi,2011,1500,1500,1500,0,Historical fiction on Portuguese colonial rule in Malabar,Calicut
Blood Letter,2011,c. 1442,1442,1442,0,About the retaliation of Tran Nguyen Vu (Nguyen Trai's grandchild) for his grandfather death in 1442. The movie was based on Bui Anh Tan's bestselling of the same name.,Vietnam
Ironclad,2011,1215,1215,1215,0,the siege of Rochester Castle,England
Legendary Amazons,2011,1030,1030,1030,0,a Chinese film about the Genearals of the Yang Family legends,China
The Lost Bladesman,2011,219,219,219,0,a Hong Kong film loosely based on the story of Guan Yu (d. 219) in the novel Romance of the Three Kingdoms,China
The Eagle,2011,140,140,140,0,Roman Britain – a young Roman man attempts to find out what happened to his father and the Ninth Legion,UK
At River's Edge,2011,0,0,0,0,,Japan
Scabbard Samurai,2011,0,0,0,0,,Japan
Hara-Kiri: Death of a Samurai,2011,0,0,0,0,Remake of the 1962 film Harakiri.,Japan
Mahindagamanaya,2011,250 BC,-250,-250,0,based on arrival of Buddhism to Sri Lanka,Sri Lanka
The Warring States,2011,ca. 316 BC,-316,-316,0,"set in the Warring States period (475–221 BC), loosely based on the rivalry between Sun Bin (d. 316 BC) and Pang Juan (d. 342 BC)",China
Immortals,2011,1228 BC,-1228,-1228,0,Loosely based on the Greek myth of Theseus and the Minotaur and the Titanomachy.,Athens
"Atlantis: End of a World, Birth of a Legend",2011,1600 BC,-1600,-1600,0,"Docudrama which depicts a re-enactment of the events surrounding the Minoan eruption, a major catastrophic volcanic eruption in the island of Thera (modern Santorini). The historical eruption devastated the island, and communities and agricultural areas on nearby islands and Crete. The event is thought to be connected to a decline and eventual downfall for the Minoan civilization, an incident believed to have inspired the legend of Atlantis.",Santorini
Lincoln,2012,Early 1865,1865,1865,0,Events chronicling the last few months of the life of President of the United States Abraham Lincoln.,"Washington, DC"
"Farewell, My Queen",2012,1789,1789,1789,0,"Marie Antoinette, Queen consort of France",France
The Day of the Siege: September Eleven 1683,2012,1683,1683,1683,0,Second ottoman siege of Vienna.,Vienna
The Floating Castle,2012,Late 1600 ,1600,1600,0,"Set in feudal Japan, the film is based on the Siege of Oshi and depicts the struggle of Oshi's villagers in defending their fortress against Toyotomi Hideyoshi's campaign against the Hojo clan.",Japan
Katherine of Alexandria,2012,307,307,307,0,Roman province of Egypt shortly before the legalization of Christianity,Rome
Siri Daladagamanaya,2012,300,300,300,0,based on venerated of Tooth relic to Sri Lanka,Sri Lanka
The Assassins,2012,210,210,210,0,The film is set in China in the late 210s – the years preceding the end of the Han dynasty,China
Shinobido,2012,0,0,0,0,,Japan
The Dry Blade,2012,0,0,0,0,,Japan
Rurouni Kenshin,2012,0,0,0,0,Based on the manga series of the same name.,Japan
The Lone Ranger,2013,1869,1869,1869,0,The Lone Ranger and his sidekick Tonto bring justice to the wild west.,Utah
A Field in England,2013,1640,1640,1640,0,During the English Civil War,England
The Physician,2013,1100,1100,1100,0,An adventure film based on the novel of the same name by Noah Gordon.,Iran
Saving General Yang,2013,980,980,980,0,a Hong Kong film about the Generals of the Yang Family legends,China
Unforgiven,2013,0,0,0,0,Based on the 1992 American western of the same name.,Japan
The Book of Daniel,2013,605 BC,-605,-605,0,"In 605 B.C. Jerusalem was conquered by the Babylonians and many of their best young men were taken into captivity, including Daniel.","Jerusalem, Israel"
A Little Chaos,2014,1682,1682,1682,0,King Louis XIV of France and the design and construction of the Gardens of Versailles,Gardens of Versailles
The Admiral: Roaring Currents,2014,1597,1597,1597,0,Battle of Myeongnyang: naval battle between Japan and Korea.,Korea
Ironclad: Battle for Blood,2014,1221,1221,1221,0,"A survivor of the Great Siege of Rochester Castle fights to save his clan from Celtic raiders. A sequel to the 2011 film, Ironclad.",England
Mission Impossible: Samurai[4],2014,0,0,0,0,,Japan
Zakurozaka no Adauchi[5],2014,0,0,0,0,,Japan
Hercules,2014,358 BC,-358,-358,0,"An American action fantasy adventure film based on the graphic novel Hercules: The Thracian Wars, which presents a realistic and more human version of Hercules.",Thrace
300: Rise of an Empire,2014,480 BC,-480,-480,0,Greece: Battle of Salamis,Salamis
The Revenant,2015,1823,1823,1823,0,American frontiersman Hugh Glass fights for survival in the unincorporated Dakotas,Montanta
Versailles,2015,1660,1660,1660,0,Fictionalized drama about the reign of King Louis XIV of France and the building of Versailles,France
William the Conqueror,2015,1066,1066,1066,0,William the Conqueror when he is about to embark from Dives-sur-Mer to conquer England in the year 1066,France
Macbeth,2015,1050,1050,1050,0,Scottish king Mac Bethad mac Findlaích,Scotland
Kakekomi[6],2015,0,0,0,0,,Japan
Masterless,2015,0,0,0,0,,Japan
Risen,2016,33 AD,33,33,0,Judea – Immediately after Jesus' crucifixion,Jerusalem
Mohenjo Daro,2016,2016 BC,-2016,-2016,0,"Filmset in 2016 BC, in the ancient city of Mohenjo-daro. The historical city was one of the largest settlements of the Indus Valley Civilisation, and one of the world's earliest major cities.",Mohenjo-daro
Gods of Egypt,2016,3200 BC,-3200,-3200,0,"A fantasy action film based on the ancient Egyptian deities and story of god Horus (Horus may be shown as a falcon on the Narmer Palette, dating from about the 3300–3200 BC).",Egypt
Hostiles,2017,1892,1892,1892,0,A U.S. Cavalry officer who must escort a Cheyenne war chief and his family back to their home in Montana,Montana
Woman Walks Ahead,2017,1890,1890,1890,0,"the story of Catherine Weldon, a portrait painter who travels from New York to Dakota to paint a portrait of Sitting Bull",South Dakota
The Fortress,2017,1636,1636,1636,0,Set during the second Manchu invasion of Korea.,Korea
Sekigahara,2017,1600,1600,1600,0,Based on a novel by Ry?tar? Shiba about the Battle of Sekigahara.,Korea
The Gaelic King,2017,800,800,800,0,"Tells the story of warrior-king Alpin. When his young brother is captured, Alpin must hunt the kidnappers though a dark forest that hides an ancient evil.",Scotland
Gautamiputra Satakarni,2017,2nd ,150,150,0,about the achievements of Satavahana dynasty ruler Gautamiputra Satakarni of uniting various Indian kingdoms during the British Raj.,India
Peterloo,2018,1819,1819,1819,0,based on the Peterloo massacre of 1819,England
The Favourite,2018,1708,1708,1708,0,"A frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.",England
Padmaavat,2018,1303,1303,1303,0,"Narrates a story about Padmavati, a legendary Rajput queen, and her kingdom's conflict with Delhi Sultan Alauddin Khilji",India
Robin Hood,2018,1190,1190,1190,0,During the life of Richard the Lionheart,England
The Great Battle,2018,645,645,645,0,Set during the Siege of Ansi.,Korea
Britannia,2018,43,43,43,0,"Set in AD 43, the series follows the Roman conquest of Britain",UK
Alpha,2018,"20,000 BC",-20000,-20000,0,Dog domestication,Europe
Panipat: The Great Betrayal,2019,1761,1761,1761,0,Based on the Third Battle of Panipat.,India
The Name of the Rose,2019,1327,1327,1327,0,Miniseries set in an Italian monastery. A dispute over the evangelical counsel of poverty between representatives of the Franciscan Order and the Avignon Papacy,Italy
The First King: Birth of an Empire,2019,753 BC,-753,-753,0,"Set in the 8th century BC, it is about the shepherd brothers Romulus and Remus and the founding of Rome.",Rome
Belgravia,2020,1840,1840,1840,0,British society during the early Victorian era,England
Emma,2020,early 1900 ,1815,1815,0,adaptation of Jane Austen's 1815 novel set during the Regency era in Great Britain,UK
Tanhaji: The Unsung Warrior,2020,1670,1670,1670,0,Biopic of Tanaji Malusare and centered around Maratha expedition of Kondhana also called Battle of Singhad.,"Godoli, Satara, India"
Barbarians,2020,9 AD,9,9,0,"Series is a fictional account of events during the Roman Empire's occupation of Germania, and the resulting rebellion of the Germanic tribes led by Arminius.",Germany
The Last Duel,2021,1390,1390,1390,0,Based on the book The Last Duel: A True Story of Trial by Combat in Medieval France by Eric Jager.,France
King Lear (many adaptations),1905,800 BC,-800,-800,0,Celtic Britain,UK
The Prince and the Pauper (many adaptations),1909,1547,1547,1547,0,"Mark Twain's novel, featuring a fictional portrayal of Edward VI of England.",England
Die Nibelungen,1966,450,450,450,0,"about the Germanic hero Siegfried, his murder, and his widow's vengeance",Germany
Arthur of the Britons,1972,500,500,500,0,Britain after the Roman withdrawal,Uk
Atlantis,2013,1600 BC,-1600,-1600,0,"Far from home, Jason washes up on the shores of the ancient and mysterious city of Atlantis.",
Romulus,2020,800 BC,-800,-800,0,"Set in the 8th century BC, narrates the events preceding the founding of Rome.",Rome
