name,actor_id,count
Andrew Logan,1359506.0,1
Andrew McCulloch,1492650.0,1
Andrew Okello,1956131.0,1
Andrew Pena,1656988.0,1
Andrew Pleavin,17291.0,3
Andrew Prine,15668.0,2
Andrew Roberts-Palmer,2263489.0,1
Andrew S. Gilbert,79695.0,1
Andrew Schimmer,1127799.0,1
Andrew Shaver,90467.0,1
Andrew Shoemo,2298873.0,1
Andrew Stehlin,1200415.0,1
Andrew Tarbet,104040.0,1
Andrew Tiernan,17290.0,2
Andrew Weir,2475.0,1
Andrew Westfield,1785610.0,1
Andrew Wilde,26861.0,1
Andrew Woodall,1215739.0,1
Andrey Hristov,2088643.0,1
Andrey Ryklin,1106045.0,1
Andrey Slabakov,559370.0,1
Andrey Smolyakov,587910.0,1
Andrey Sukhov,1106043.0,1
Andrzej Girtler,2226033.0,1
Andrzej Grąziewicz,2823.0,1
Andrzej Kopiczyński,107869.0,1
Andrzej Matuszewiski,141728.0,1
Andrzej Pieczyński,107890.0,1
Andrzej Seweryn,2829.0,2
Andrzej Tomecki,2120164.0,1
Andrzej Żółkiewski,2227747.0,1
András Csiky,1200610.0,1
András Stohl,125407.0,1
André Agius,1206008.0,1
André Belhomme,2526153.0,1
André Chaumeau,146230.0,1
André D'Avant-Cour,1377625.0,1
André Delon,1377696.0,1
André Gabriello,535167.0,1
André Kaczmarczyk,1150071.0,1
André Kasper,1363756.0,1
André Morell,10029.0,3
André Oumansky,17482.0,1
Andréa Ferréol,10262.0,1
Andréa Parisy,35884.0,1
Andrée Standart,1693202.0,1
Andy Beckwith,1123.0,1
Andy Cockell,1945379.0,1
Andy Coumbe,1392703.0,1
Andy Coxon,1278594.0,1
Andy Devine,14966.0,2
Andy Dylan,1344352.0,1
Andy Gathergood,1058078.0,1
Andy Hockley,219741.0,1
Andy Lau,25246.0,4
Andy Lucas,25088.0,1
Andy Nyman,22810.0,1
Andy On,63585.0,2
Andy Serkis,1333.0,1
Andy Stahl,21083.0,1
Andy Wareham,1233266.0,1
Aneesha Joshi,2031849.0,1
Aneta Kiszczak,1886759.0,1
Anette Tirier,1386946.0,1
Aneurin Barnard,145143.0,1
Anezka Novak,62940.0,1
Angel Ivanov,141279.0,1
Angela Camuso,2757017.0,1
Angela Clarke,89215.0,1
Angela Curran,174700.0,1
Angela Douglas,40951.0,1
Angela Down,192866.0,1
Angela Hicks,2249401.0,1
Angela Iurilli,25104.0,1
Angela Lansbury,14730.0,1
Angela Luce,53000.0,1
Angela Oh,78578.0,1
Angela Pleasence,37440.0,2
Angela Winkler,10255.0,1
Angela Yu Chien,544931.0,1
Angele Galea,1206028.0,1
Angelina Jolie,11701.0,2
Angelo Casadei,1465385.0,1
Angelo Di Loreta,1566523.0,1
Angelo Novi,5819.0,1
Angelo Zanolli,1188397.0,1
Angelos Yannoulis,1959363.0,1
Angus Barnett,1714.0,1
Angus Macfadyen,2464.0,3
Angus McEwan,2290754.0,1
Angus Wright,933640.0,3
Anian Zollner,44637.0,1
Anita Colby,100325.0,1
Anita Ekberg,5961.0,1
Anita Laurenzi,141716.0,2
Anita Louise,34442.0,1
Anita Sharp-Bolster,98495.0,1
Anita Todesco,114421.0,2
Anita Zagaria,27394.0,1
Anitra Stevens,1382707.0,1
Anjelica Huston,5657.0,1
Ankur Khanna,239725.0,1
Ann Brendon,3332469.0,1
Ann Bupp,1468784.0,1
Ann Carter,34498.0,1
Ann Evers,1018117.0,1
Ann Firbank,17161.0,1
Ann Pennington,1242021.0,1
Ann Rutherford,11495.0,2
Ann Sheridan,80994.0,1
Ann Staunton,135843.0,1
Anna Arena,992778.0,1
Anna Bentinck,1276663.0,1
Anna Cachia,1173036.0,1
Anna Calder-Marshall,43543.0,1
Anna Cropper,47567.0,1
Anna Davis,2526165.0,1
Anna Demetrio,1013177.0,1
Anna Diafe Ndiaye,1392715.0,1
Anna Fonsou,1119887.0,1
Anna Galiena,27391.0,1
Anna Hutchison,486603.0,1
Anna Kashnikova,2805585.0,1
Anna Kolinska,3011536.0,1
Anna Levine,3711.0,1
Anna Majcher,107889.0,1
Anna Maria Ferrero,553896.0,1
Anna Maria Malipiero,1871411.0,1
Anna Maria Minati,2757012.0,1
Anna Maria Padoan,1204933.0,1
Anna Massey,8227.0,1
Anna Matzourani,1119900.0,1
Anna Mazzotti,24621.0,1
Anna Nakagawa,115910.0,1
Anna Paquin,10690.0,2
Anna Popplewell,5529.0,1
Anna Skidanova,1435637.0,1
Anna Sozzani,2415280.0,1
Anna Stiborová,1547786.0,1
Anna Svierkier,1328713.0,1
Anna Synodinou,93956.0,2
Anna Széles,1508628.0,1
Anna Trokán,2008334.0,1
Anna V. Boksenbaum,2928706.0,1
Anna Zapparoli,24628.0,2
Anna Zsíros,2757095.0,1
Annabella,82789.0,1
Annabelle Apsion,80369.0,1
Annabeth Gish,49425.0,1
Annagaia Marchioro,3323079.0,1
Annamaria Ubaldi,1206572.0,1
Anne Alvaro,35324.0,1
Anne Bancroft,10774.0,3
Anne Baxter,10606.0,1
Anne Benoît,7282.0,1
Anne Caprile,1068815.0,1
Anne Consigny,7276.0,1
Anne Curtis,150501.0,1
Anne Day-Jones,308540.0,1
Anne Fitzpatrick,1738911.0,1
Anne Harvey,1619136.0,1
Anne Hathaway,1813.0,1
Anne Heywood,32913.0,1
Anne Howells,1155233.0,1
Anne Kokkinn,226182.0,1
Anne Marie Wilson,2237166.0,1
Anne Moore,2526199.0,1
Anne Sassoon,2526203.0,1
Anne Scott,2896433.0,1
